id_depart,name,address,tel,time,dcode,dname,lat,lng
31,คาร์ฟู สาขาสุขาภิบาล 1,13/40 ถ.นวมินทร์ ม.9 แขวบคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ,02-9468700,เปิดเวลา ทุกวัน 09:00-23:00น.,1027,บึงกุ่ม,13.81369083,100.6474806
32,คาร์ฟู สาขาหนองจอก,34 ม 1 ถ.เลียบทวี แขวงกระทุ่มราย เขตหนองจอก กรุงเทพฯ,02-9857800,เปิดเวลา ทุกวัน 09:00-23:00น.,1003,หนองจอก,13.85556997,100.8555681
33,คาร์ฟู สาขาพระราม 2,189/1 ม.6 ถ.พระรามที่2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ,02-4513222,เปิดเวลา ทุกวัน 09:00-23:00น.,1021,บางขุนเทียน,13.64768348,100.4159632
34,คาร์ฟู สาขาสวนหลวง,314-314/1 ถ.เฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ กรุงเทพฯ,02-3282100,เปิดเวลา ทุกวัน 09:00-23:00น.,1032,ประเวศ,13.68672698,100.668363
35,โลตัส ปิ่นเกล้า,3 ถ.บรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กทม. 10700,0 2884 6290,เปิดเวลา 08:00-22:00น.,1020,บางกอกน้อย,13.77643345,100.4779882
36,คาร์ฟู สาขาสายไหม,89-89/3 ม.3 ถ.สายไหม แขวงสายไหม เขตสายไหม กรุงเทพฯ,02-976-4300,เปิดเวลา ทุกวัน 09:00-23:00น.,1042,สายไหม,13.92120566,100.6807652
37,บิ๊กซี สำนักงานใหญ่,97/11 ชั้น 6 ถ.ราชดำริห์ แขวงลุมพินี เขตปทุมวัน,02655-0666,เวลาเปิด/ปิด 8.00 - 17.00 น.,1007,ปทุมวัน,13.74745574,100.5410106
38,บิ๊กซี สาขาดอนเมือง,1 ถ.พหลโยธิน ซ.พหลโยธิน 50 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,02-973-7222-36,ทุกวัน 9.00 - 23.00 น.,1005,บางเขน,13.89039247,100.6056177
39,บิ๊กซี สาขาดาวคนอง,1050 ถ.สมเด็จพระเจ้าตากสิน แขวงบุคโล เขตธนบุรี กรุงเทพฯ,02-876-2777-91,ทุกวัน 9.00 - 23.00 น.,1015,ธนบุรี,13.69906337,100.4826807
40,บิ๊กซี สาขาหัวหมาก,2001 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,02-718-6000,ทุกวัน 9.00 - 23.00 น.,1006,บางกะปิ,13.75567556,100.6125732
41,บิ๊กซี สาขาบางนา,111 ถ.บางนา - ตราด แขวงบางนส เขตบางนา กรุงเทพฯ,02-2744-3260-73,ทุกวัน 9.00 - 23.00 น.,1047,บางนา,13.66864237,100.6355043
42,บิ๊กซี สาขาสะพานควาย,618/1 ถ. พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,02-616-7555,ทุกวัน 9.00 - 23.00 น.,1014,พญาไท,13.79097029,100.5497028
43,บิ๋กซี สาขาลาดพร้าว,2539 ถ.ลาดพร้าว83 แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพฯ,02-934-9888-96,ทุกวัน 9.00 - 23.00 น.,1045,วังทองหลาง,13.78553278,100.6123433
44,บิ๊กซี สาขาราชดำริ,97/11 ถ.ราชดำริห์ แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,02-250-4888,ทุกวัน 9.00 - 23.00 น.,1007,ปทุมวัน,13.74593582,100.5412226
45,บิ๊กซี สาขาแฟชั่นไอส์แลนด์,2539 ถ.ลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ,02-9349888-96,ทุกวัน 9.00 - 23.00 น.,1043,คันนายาว,13.82584271,100.6789224
46,บิ๊กซี สาขาวงศ์สว่าง,888 ถ.พิบูลย์สงครา แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,02-587-2055,ทุกวัน 9.00 - 23.00 น.,1029,บางซื่อ,13.82686364,100.5282946
47,บิ๊กซี สาขาธนบุรี ปากท่อ,56 ม.6 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ,02-8957600,ทุกวัน 9.00 - 23.00 น.,1021,บางขุนเทียน,13.66203349,100.4404072
48,บิ๊กซี สาขาราษฎร์บูรณะ,19 ม. 9 ถ.ราษฎร์บูรระ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพฯ,02-873-1200,ทุกวัน 9.00 - 23.00 น.,1024,ราษฎร์บูรณะ,13.68326519,100.5002114
49,บิ๊กซี สาขาแจ้งวัฒนะ,96 ม.1 ถ.แจ้งวัฒนะ แขวงหลักสี่ เขตหลักสี่ กรุงเทพฯ,02-573-5800,ทุกวัน 9.00 - 23.00 น.,1041,หลักสี่,13.89349431,100.560773
50,สำนักงานใหญ่ บริษัท สหฟาร์ม จำกัด,44/4 ถ.นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ,02-510-5737,-,1027,บึงกุ่ม,13.83318627,100.6597259
51,ห้างสรรพสินค้า ตั้งฮั่วเส็ง สาขาธนบุรี,289 ถ.สิรินธร แขวงบางบำหรุ เขตบางพลัด กรุงเทพฯ,"02-4340448,02-881-9500",วันเวลา เปิด-ปิด 10.00น.-22.00,1025,บางพลัด,13.7879396,100.4826757
52,ห้างสรรพสินค้า ตั้งฮั่วเส็ง สาขาบางลำพู,172-182 ถ.จักรพงษ์ บางลำพู กรุงเทพฯ,02-280-0936-42,เวลา เปิด-ปิด10.00น.-21.30น,1001,พระนคร  ,13.76112885,100.4975713
53,สำนักงานใหญ่เดอะมอลล์,ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,เปิดปิดเวลา 10.00 - 20.00 น,1006,บางกะปิ,13.75167422,100.6107427
54,ห้างสรรพสินค้าเดอะมอลล์ 3,1911 ถนนรามคำแหง แขวงหัวหมาก เขต บางกะปิ กรุงเทพฯ,-,ทุกวัน 10.30 น. -21.00 น,1006,บางกะปิ,13.75288493,100.6094379
55,เดอะมอลล์ สาขาโฮม เฟรช มาร์ท,ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,จันทร์-ศุกร์ 10.30-22.00น.เสาร์-อาทิตย์10.00-24.00น.,1006,บางกะปิ,13.75107876,100.6105722
56,เดอะมอลล์ สาขาท่าพระ,99 ถรัชดาภิเษก แขวงบุคคโล เขตธนบุรี กรุงเทพฯ,-,จันทร์-ศุกร์10.30-22.00น,1015,ธนบุรี,13.7135623,100.479739
57,เดอะมอลล์ สาขาบางแค,275ม.2 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพฯ,-,วันจันทร์-ศุกร์ 10.00 น. - 22.00 น.เสาร์-อาทิตย์ 10.00น.-23.00น.,1040,บางแค,13.71350346,100.4077948
58,เดอะมอลล์สาขาบางกะปิ,3522 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ,02-318-9190,เวลาเปิด / ปิด :10.30-21.00น,1006,บางกะปิ,13.76611153,100.6419129
59,ฟูดแลนด์ สำนักงานใหญ่,2675 ถ.ลาดพร้าว ซ.95 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ,02-530-0220-22,จันทร์-ศุกร์ : 8.30-18.00 เสาร์ 9.00-16.00,1045,วังทองหลาง,13.77930615,100.6231577
60,ฟูดแลนด์ สาขาพัฒน์พงศ์,9 ชั้นล่าง ถ.พัฒน์พงษ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพฯ,02-234-4558,จันทร์-ศุกร์ : 8.30-18.00 เสาร์ 9.00-16.00 .,1004,บางรัก,13.72979204,100.5324532
61,ฟูดแลนด์ สาขาหัวหมาก,1851 ถ.สุขุมวิท แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,02-314-6763,เปิดบริการ 24 ชั่วโมง,1006,บางกะปิ,13.75019367,100.6076903
62,ฟูดแลนด์ สาขาเพชรบุรี,2443 ถ.เพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ,02-318-2063,เปิดบริการ 24 ชั่วโมง,1017,ห้วยขวาง,13.74377518,100.5910858
63,ฟูดแลนด์ สาขารามอินทรา,78/5 ม.4 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,02-521-2560,เปิดบริการ 24 ชั่วโมง,1005,บางเขน,13.86015105,100.6243654
64,ฟูดแลนด์ สาขาสุขุมวิท ซอย 5,87 อาคารนายเลิศ ชั้นล่าง สุขมวิท 5 ถ.สุขุมวิท คลองเตยเหนือ กรุงเทพฯ,02-254-2247,เปิดบริการ 24 ชั่วโมง,1039,วัฒนา,13.74229421,100.5539964
65,ฟูดแลนด์ สาขาลาดพร้าว,2675 หมู่ 9 ถ.ลาดพร้าว ซ.95 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพ,02-530-0220-7,เปิดบริการ 24 ชั่วโมง,1045,วังทองหลาง,13.77915286,100.6231012
66,ฟูดแลนด์ สาขาจรัญสนิทวงศ์,262 ซ.จรัญสนิทวงค์ ถ.จรัญสนิทวงศ์ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพฯฯ,02-411-3333,เปิดบริการ 24 ชั่วโมง,1020,บางกอกน้อย,13.76040477,100.4722278
67,ห้างสรรพสินค้าพาต้า ปิ่นเกล้า สำนักงานใหญ่,125 ถ.สมเด็จพระปิ่นเกล้า แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ,02-434-3333,เวลาเปิด / ปิด :10.30-21.30น,1025,บางพลัด,13.77300962,100.4851433
68,ห้างสรรพสินค้ามาบุญครอง,ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพฯ,-,เวลาเปิด / ปิด :10.00-21.00น,1007,ปทุมวัน,13.74463358,100.5297016
69,ห้างสรรพสินค้าโตคิว สำนักงานใหญ่,444 อาคารมาบุญครองเซ็นเตอร์ ถ.พญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพฯ,02-2217-9023,เวลาเปิด / ปิด :10.30-21.00น,1007,ปทุมวัน,13.74420864,100.5297174
70,ห้างสรรพสินค้าเซ็นทรัลปิ่นเกล้า,ถ.บรมราชชนนี แขวงอรุณอัมรินทร์ เขตบางกอกน้อย กรุงเทพฯ,02-8848000-2,จันทร์-ศุกร์ 11:00-21:30 เสาร์ 10:00-22:00 อาทิตย์ 10:00-22:00,1020,บางกอกน้อย,13.77734996,100.4758945
71,ห้างสรรพสินค้า จัสโก้ สาขารัชดาภิเษก,129 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,02-246-4694-8,จันทร์-ศุกร์ 11:00-21:30 เสาร์ 10:00-22:00 อาทิตย์ 10:00-22:00,1026,ดินแดง,13.76821722,100.569898
72,ห้างสรรพสินค้า จัสโก้ สาขาสุขุมวิท71,140 ถ.สุขุมวิท71 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,02-382-2001-5,เปิดบริการ 24 ชั่วโมง,1039,วัฒนา,13.7187263,100.5969358
73,ห้างสรรพสินค้า จัสโก้ สาขาประชาอุทิศ,11/12 ม.1 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพฯ,02-873-5032-7,เปิดบริการ 24 ชั่วโมง,1049,ทุ่งครุ,13.63991498,100.5011943
74,ห้างสรรพสินค้า จัสโก้ สาขา ศรีนครินทร์,2669 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง,02-2322-7002-8,เปิดบริการ 24 ชั่วโมง,1034,สวนหลวง,13.73580076,100.6424321
75,สยามแม็คโครจำกัด สาขาบางบอน,40/8 ม10 ถ.สายวงแหวนแยกเอกชัย - เพชรเกษม แขวงบางบอน เขตบางบอน กรุงเทพฯ,02-4168080-90,เวลา 06.00 – 22.00 น.,1050,บางบอน,13.664283,100.4059953
76,สยามแม็คโครจำกัด สาขาลาดพร้าว,3498 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ,02-375-2789,ทำการทุกวัน 10:30-19:30 น.,1006,บางกะปิ,13.76852777,100.6401265
77,สยามแม็คโครจำกัด สาขาจรัญสนิทวงศ์,521-521/7 ถ.จรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพฯ,0-2864-5714,ทำการทุกวัน 10:30-19:30 น.,1020,บางกอกน้อย,13.76161869,100.4702748
78,สยามแม็คโคร สาขาสาธร (นราธิวาส),1 ถ.นราธิวาสราชนครินทร์ แขวงทุ่งวัดดอน เขตสาธร กรุงเทพฯ,02-676-0676,ทำการทุกวัน 10:30-19:30,1028,สาทร,13.70990791,100.5349869
79,สยามแม็คโคร สาขาสามเสน,935/11 ถ.สามเสน แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพฯ,02-241-8400,ทำการทุกวัน 10:30-19:30,1002,ดุสิต,13.7911183,100.512875
80,ห้างสรรพสินค้าเซ็นทรัล สาขาสีลม,306 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพฯ,02-101-8124-37,เวลา 10:00 น. และปิดในเวลา 19:00 น,1004,บางรัก,13.72431659,100.5203699
81,ห้างสรรพสินค้า เซ็นทรัลชิดลม,ถ.เพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,02-7937777,เวลาเปิด/ปิด10:00 น.–22:00 น.,1007,ปทุมวัน,13.74443436,100.5442643
82,ห้างสรรพสินค้า เซ็นทรัลพระราม 3,79/3 ถ.สาธุประดิษฐ์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ,-,เวลาเปิด/ปิด10:00 น.–22:00 น.,1012,ยานนาวา,13.69768004,100.5375239
83,ห้างสรรพสินค้าโรบินสัน บางรัก,1522 ถ.เจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพฯ,-,วันเวลาเปิด-ปิดจันทร์ - พฤหัส 11:00-21:00 น. ศุกร์ 11:00 - 21:30 น. เสาร์ -,1004,บางรัก,13.71963919,100.5151435
84,ห้างสรรพสินค้าโรบินสัน รัชดา,139 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,"02-2482626-35,02-2245300-9",จันทร์-ศุกร์ เวลา 10.00 – 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,1026,ดินแดง,13.7699837,100.5721292
85,ห้างสรรพสินค้าโรบินสัน สุขุมวิท,259 ถ.สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ,"02-6511533-42,022525121",จันทร์-ศุกร์ เวลา 10.00 – 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,1039,วัฒนา,13.7383286,100.5593148
86,ห้างสรรพสินค้าโรบินสัน บางแค,110/5 หมู่ 9 ถ.เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ,02-455-0143-45,จันทร์-ศุกร์ เวลา 10.00 – 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,1022,ภาษีเจริญ,13.7121139,100.4340825
87,ห้างสรรพสินค้าโรบินสัน ศรีนครินทร์,904 /1 หมู่ 6 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ,02-721-8990-9,เปิดบริการทุกวันตั้งแต่เวลา 10.00-19.00 น.,1032,ประเวศ,13.69521306,100.6483345
88,ห้างสรรพสินค้าโรบินสัน แฟชั่นไอแลนด์,5/7 ม. 7 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ,02-9475320-62,"เปิดเวลา: จ-ศุกร์ 11:00-21:00, เสาร์-อา 10:00-21:00",1043,คันนายาว,13.82443502,100.6785793
89,ห้างสรรพสินค้าโรบินสัน ลาดหญ้า,99 ถ.ลาดหญ้า แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพฯ,"02-4370111,024370104-5",จันทร์-ศุกร์ เวลา 10.00 – 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,1018,คลองสาน,13.72699422,100.4948764
90,ห้างสรรพสินค้าบางลำภู (ประชาราษฎร์2),162/1 ถ.ประชาราษฎร์ สาย 2 แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,02-912-7600-6,ทำการทุกวัน 10:00-18:30น.,1029,บางซื่อ,13.80580061,100.52418
91,ห้างสรรพสินค้าบางลำภู,85/1 ถ.ตานี แขวงตลาดยอด เขตพระนคร กรุงเทพฯ,02-2822507-10,วันเวลาเปิด-ปิด 10.00-22.00 น,1001,พระนคร  ,13.76075342,100.4983642
92,ห้างสรรพสินค้าเซ็นทรัล สาขาสีลมคอมเพล็กซ์,191 ถ.สีลม แขวงสีลม เขตบางรัก กรุงเทพฯ,02-231 3333,ทุกวัน เวลา : 10.00-22.00 น,1004,บางรัก,13.72829467,100.5348568
93,ห้างสรรพสินค้าเซ็นทรัล สาขารามอินทรา,109/9 ม.3 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,02-797 8000,เวลา เปิด-ปิด- จันทร์-ศุกร์ 10:00-21:00- เสาร์-อาทิตย์ และ วันหยุดนักขัตฤกษ,1005,บางเขน,13.87196937,100.6017532
94,ห้างสรรพสินค้าเซ็นทรัล บางนา,หมู่ 12 ถ.บางนา-ตราด แขวงบางนา เขตบางนา กรุงเทพฯ,02-7255000,จันทร์ - พฤหัส 10:30 - 21:00 น. ศุกร์ 10:30 - 22:00 น. เสาร์ - อาทิตย์ และว,1047,บางนา,13.66926497,100.6342977
95,ห้างสรรพสินค้าเซ็นทรัล สาขาลาดพร้าว,1697 ถ.พหลโยธิน แขวงจตุจักร เขตจตุจักร กรุงเทพฯ,02-9371716,ทุกวันเวลา 10.00 น. - 22.00 น.,1030,จตุจักร,13.81630431,100.5601373
96,ห้างสรรพสินค้าเดอะมอลล์ สาขารามคำแหง(2),1988/2 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,02-318-9190,วันจันทร์ - วันศุกร์ 10.30 น. -21.00 น,1006,บางกะปิ,13.75034319,100.6110942
97,ห้างสรรพสินค้าเดอะมอลล์ สาขารามคำแหง (4),1911 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,"เวลาเปิด-ปิดร้าน, วันจันทร์ - วันศุกร์ 10.30 น. -21.00 น",1006,บางกะปิ,13.75384493,100.6105356
98,ศูนย์การค้าสยามเซ็นเตอร์,ถ.พระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพฯ,-,ทุกวันเวลา 10.00 น. - 22.00 น.,1007,ปทุมวัน,13.7462873,100.5326899
99,ห้างสรรพสินค้าเซ็นทรัลวงศ์สว่าง,888 ถ.พิบูลสงคราม แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,-,ทำการทุกวัน 10:00-22:00 .,1029,บางซื่อ,13.80077386,100.5199482
100,ห้างวันเดอร์ ดีพาร์ทเม้นสโตร์,24/9 ถ.เพชรเกษม แขวงบางแค เขตบางแค กรุงเทพฯ,24135533,-,1040,บางแค,13.71164766,100.4240385
101,ห้างสรรพสินค้า IT Square,ถ.แจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพฯ,-,"จ-ศุกร์ 11:00-21:00, เสาร์-อา 10:30-21:00",1041,หลักสี่,13.88607854,100.5810323
102,ห้างสรรพสินค้าจัสโก้,ถ.เอกชัย แขวงบางบอน เขตบางบอน กรุงเทพฯ,-,เปิดบริการทุกวัน 24 ชั่วโมง,1050,บางบอน,13.67180634,100.4261745
103,ห้างสรรพสินค้าซีคอนสแควร์,ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ,-,ทำการทุกวัน 10:00-22:00น .,1032,ประเวศ,13.69430097,100.6482079
104,ห้างสรรพสินค้าดีเซมเบอร์,ถ.นวมินทร์ แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,ทุกวัน จันทร์ – เสาร์ เวลา 11.00 – 22.00 น,1006,บางกะปิ,13.7650111,100.6483321
105,ห้างฟู๊ดแลนด์ สาขาหลักสี่,333/100 อาคารหลักสี่พลาซ่า ม.4 ถ.แจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่,02-5760601-9,เปิดบริการทุกวัน 24 ชั่วโมง,1041,หลักสี่,13.88711421,100.5816223
